Original,Paraphrased
"['It said the wrong patient information leaflets were added to hospital appointment letters sent out in March.', 'Ms Fellows said: ""Unfortunately, for a short period in March, the printing company inadvertently miscoded approximately 850 letters resulting in a \'two-week information leaflet\' being inserted with an appointment letter.']","['The hospital mistakenly included incorrect patient information leaflets with appointment letters sent out in March.', 'Ms. Fellows reported that due to an error on the part of the printing company in March, approximately 850 letters were incorrectly coded, resulting in the inclusion of a two-week information leaflet with some appointment letters.']"
"['Labour will try to amend the draft legislation to secure what it calls a ""meaningful vote"" on the final deal struck between Theresa May and the EU, and to guarantee the status of EU nationals in the UK and Britons living elsewhere in Europe.', 'Shadow business secretary Clive Lewis has said he will vote against the bill unless Labour\'s amendments are accepted, describing them as ""red lines"".']","['Labour aims to modify the draft legislation to ensure that the UK government has a significant say in the final Brexit agreement and to protect the rights of EU nationals living in the UK and British citizens living in Europe.', 'Clive Lewis, the shadow business secretary, has threatened to vote against the bill unless the Labour Party\'s proposed amendments are incorporated, referring to them as ""non-negotiable demands.""']"
"['The National League sold the Republic of Ireland midfielder to the Cherries for £175,000 in 2012 and had a 15% sell-on clause included in the deal.', ""O'Kane moved for an undisclosed fee, but Nicholson says any money will go to help the cash-strapped club.""]","['The National League sold the Republic of Ireland midfielder to Cherries for £175,000 in 2012, with a 15% sell-on clause included in the agreement.', ""O'Kane was transferred for an unspecified amount, and Nicholson asserts that any financial gain from the transfer will be used to support the financially struggling club.""]"
"['The 36-year-old was visited by an officer in April 2016 about his bail arrangements, which a doctor said could have added to his distress.', '""I don\'t think the police should be able to come to the ward without special permission,"" he said.']","['In April 2016, a police officer paid a visit to the 36-year-old individual regarding the terms of his bail, which a medical professional believed could have exacerbated his emotional distress.', '""He expressed the opinion that the police should not be allowed to visit the ward without explicit permission.""']"
"['Former Blackpool forward Taylor-Fletcher scored three goals in 23 games for his parent club last season.', ""He joined the 13th-placed Owls prior to Saturday's Championship game against Norwich City.""]","['Taylor-Fletcher, a former forward for Blackpool, tallied three goals in just 23 games for his parent club during the previous season.', 'He signed with the 13th-ranked Owls before their Championship match against Norwich City on Saturday.']"
"[""Now at the Co-operative Institute for Research in Environmental Sciences, Dr Abdalati served as Nasa's chief scientist in 2011, for two years."", '""I do think that when it comes to access to federal databases, and information that the taxpayers have paid for, there would have to be a tremendous paradigm shift to actively take steps to make those data unavailable, and I think doing so would be an enormous disservice to the citizens of this country and to the world in general,"" he said via email.']","['During his tenure at the Co-operative Institute for Research in Environmental Sciences in 2011, Dr. Abdalati held the position of Chief Scientist at NASA for two years.', '""He believes that making federal databases and taxpayer-funded information inaccessible would require a significant change in approach and would be a grave disservice to the citizens of the country and the world at large.""']"
"[""The band's representatives said the drummer died in England but no cause of death was given."", 'First we lose Lemmy, now news that Brad from the Specials has passed away.']","[""According to the band's representatives, the drummer passed away in England, but the reason for his death was not disclosed."", 'First, we mourned the loss of Lemmy, and now we are saddened by the passing of Brad from the Specials.']"
"['World number one Jason Day and US Open champion Dustin Johnson also missed the cut at Torrey Pines in San Diego.', '""It\'s frustrating not being able to have a chance to win the tournament,"" said the 41-year-old, who won his last major, the US Open, at the same course in 2008.']","['Top-ranked golfer Jason Day and US Open winner Dustin Johnson failed to make the cut at the Torrey Pines tournament in San Diego.', '""The 41-year-old player expressed his frustration at not having the opportunity to compete for the tournament victory, particularly since he won his last major championship at the same course in 2008.""']"
"['Cole said: ""It is a long road ahead.', 'Earlier this week, another former Newcastle and England striker, Alan Shearer, told the BBC he felt English clubs were a long way off being able to challenge for the Champions League.']","['Cole noted that there is a significant distance to be covered.', 'Alan Shearer, a former Newcastle and England striker, recently told the BBC that he believes English clubs are still a long way from being able to compete with the best teams in the Champions League.']"
"['The amateur-made video was condemned in the Muslim world and sparked widespread protests for its mocking portrayal of the Prophet Muhammad.', 'More than a dozen people died in protests in Pakistan.']","['The low-budget video, created by an individual or group, was widely criticized in the Muslim world for its disrespectful depiction of the Prophet Muhammad, leading to large-scale protests and demonstrations.', 'Over a dozen protesters lost their lives in violent demonstrations across Pakistan.']"
"['Director of rugby Richard Cockerill told BBC Radio Leicester: ""With eight weeks of the season to go that is probably the last we will see of him.""', 'He also sustained a knee injury that ruled him out for four months last term.']","['According to Director of rugby Richard Cockerill, speaking to BBC Radio Leicester, the player in question is unlikely to feature again in the remaining eight weeks of the season.', 'He was sidelined for four months due to a knee injury he suffered last term.']"
"['Media playback is not supported on this device\nDoull emulated fellow Welshman Geraint Thomas, who won at the 2008 and 2012 Olympics, by helping Great Britain win team pursuit gold in world record time.', 'Doull - who started cycling at the Maindy Fliers club in Cardiff like Thomas and Barker - had helped the Great Britain team to lower the world record in their heat demolition of New Zealand.']","['Doull emulated the success of Welsh cyclist Geraint Thomas, who won gold medals at the 2008 and 2012 Olympics, by helping Great Britain secure a team pursuit gold medal in a world record time.', ""Doull, who began cycling at the Maindy Fliers club in Cardiff alongside Thomas and Barker, contributed to the Great Britain team's record-breaking victory over New Zealand in their heat.""]"
"['Officials estimate that the floods have affected 450,000 people in the state.', 'The north-eastern state of Assam has also seen dozens killed and hundreds of thousands displaced.']","['Approximately 450,000 individuals in the state have been impacted by the floods, according to official estimates.', ""Assam's northeastern region has suffered significant loss of life and displacement of hundreds of thousands of people.""]"
"['Hong Kong regulators said RBS\'s controls were ""seriously inadequate"".', 'In the same month it was fined $100m (£60m) by US regulators for violations of US sanctions against Iran, Sudan, Burma, and Cuba.']","['Hong Kong regulators criticized RBS for having inadequate control measures in place.', 'In the same month, the company was penalized $100 million by US regulators for non-compliance with sanctions against Iran, Sudan, Burma, and Cuba.']"
"['""She was taking pictures of people... and I told her how much her speech at the Golden Globes meant to all of us and how grateful I was that she did it and kicked in the door a little bit,"" he said.', '""There is a big audience for these awards shows... and I have to say I\'m very proud to be a part of the arts community.']","['He expressed his gratitude to her for her powerful speech at the Golden Globes, which resonated deeply with everyone, and for her bold actions in opening up new opportunities.', '""The popularity of these awards shows is evident... and I am honored to be a member of the arts community.""']"
"['Media playback is not supported on this device\nOf his first 30 matches in 2017, the world number one has won 21 and lost nine.', ""Winning his last five tournaments of 2016 to pip Novak Djokovic to the year-end number one position in the final match of the season at London's O2 Arena was astonishing, dramatic and unforgettable.""]","['In 2017, the world number one player won 21 of their first 30 matches, while losing nine.', ""In a stunning turn of events, he emerged victorious in the last five tournaments of 2016, overtaking Novak Djokovic to claim the year-end number one ranking in a thrilling finale at London's O2 Arena.""]"
"['South Africa has one of the highest murder rates in the world with more than 50,000 cases reported every year.', 'Tributes are still pouring in for the star who was also a DJ on local radio station Jozi FM.']","['South Africa experiences an alarmingly high rate of homicides, with more than 50,000 cases reported annually, making it one of the deadliest countries in the world.', 'Tributes continue to flood in for the celebrated artist and radio personality who graced the airwaves of Jozi FM with their unique style and charm.']"
"['Members of the public told police the shot was fired at a dark coloured car by a white man in a grey hooded top who was on foot.', 'He said police wanted to hear from those inside the car ""so we know they are safe"".']","['Witnesses reported to the police that a dark-colored car was shot at by a white man wearing a gray hooded top, who was on foot.', 'The authorities desired to speak with the individuals inside the vehicle to ensure their well-being and confirm their safety.']"
"['Ennis-Hill is competing in her first heptathlon since winning gold at London 2012.', 'Follow latest updates and reports on the second day of the Gotzis Hypo-Meeting on the BBC Sport website on Sunday, 31 May.']","['Ennis-Hill is participating in her first heptathlon competition since capturing the gold medal at the London Olympics in 2012.', 'Keep up to date with the latest news and coverage of the second day of the Gotzis Hypo-Meeting on the BBC Sport website this Sunday, May 31st.']"
"['Joint administrator Geoff Rowley added the administration process ""provided a moratorium"" in the search for a buyer but ""no solution could be achieved to allow for the business to continue in its current form"".', 'All three teams have now collapsed.']","['The joint administration process temporarily halted the search for a buyer, but no viable solution was found to enable the business to continue operating in its current form.', 'All three teams have now experienced a significant decline.']"
"['Out of the 228 candidates, 70 are women.', 'The election will take place on 2 March.']","['Of the 228 applicants, nearly one-third (70) are female.', 'The voting will occur on March 2nd.']"
"['Anthony Reuben, from BBC Reality Check, had this answer: ""The BBC does not give financial advice, but here are a few things to bear in mind...\n""The exchange rate between the pound and the dollar reflects the views of investors about the relative strengths of the two economies.', '""Since the Brexit vote in June the pound has fallen about 18% against the dollar on the judgment that growth is likely to be stronger in the US than the UK and that UK interest rates are falling while the next movement in US rates is expected to be upwards.']","[""Anthony Reuben from BBC Reality Check suggests that the exchange rate between the pound and the dollar is influenced by investors' perceptions of the relative economic strengths of the two countries."", '""Since the Brexit vote in June, the value of the pound has decreased by about 18% compared to the dollar, as investors anticipate stronger growth in the US economy and lower interest rates in the UK, while the next move in US interest rates is expected to be upwards.""']"
"['More than 300 people entered Alternative Model of the Year with the winner being decided by judges in Newcastle on Saturday.', 'Vintage-fan Zoe Waters, 19, from Bishop Auckland, is a student at Newcastle University.']","['Over 300 individuals participated in the Alternative Model of the Year competition, with the winner being selected by a panel of judges in Newcastle on Saturday.', 'Newcastle University student Zoe Waters, aged 19 from Bishop Auckland, is an avid vintage enthusiast.']"
"['The Yomper statue was created by Philip Jackson, depicting a royal marine marching across the islands during the 1982 conflict and was unveiled by former prime minister, Lady Thatcher, in 1992.', 'The National Museum of the Royal Navy (NMRN) is planning to relocate the Royal Marines Museum from Eastney to Portsmouth Historic Dockyard as part of a Â£13m lottery funded project and wants to take the statue with it.']","['The Yomper statue, designed by Philip Jackson, portrays a royal marine in mid-march across the islands during the 1982 conflict, and was officially unveiled by former Prime Minister Lady Thatcher in 1992.', 'The National Museum of the Royal Navy (NMRN) is proposing to move the Royal Marines Museum from Eastney to Portsmouth Historic Dockyard as part of a £13 million lottery-funded project, and the museum intends to relocate the statue as well.']"
"['The BBC is not aware of anyone else who has appeared in court charged with a breach of a TPim.', 'The court heard that BM is charged with two counts of breaching Section 23 of a TPim order.']","['The BBC is not aware of any other individuals who have been taken to court for violating a TPim.', 'The court was informed that BM is accused of violating Section 23 of a TPim order on two separate occasions.']"
"['Seamer Anyon took 199 wickets in 63 first-class appearances for Sussex between 2010 and 2014 and retired last year because of a knee injury.', ""Alexia Walker, Sussex's most-capped women's player and coach of the under-17 side, will take on roles with the senior, under-21 and under-19 sides.""]","['Seamer Anyon accumulated 199 wickets in 63 first-class matches for Sussex between 2010 and 2014 before hanging up his boots due to a knee injury.', ""Alexia Walker, who has earned the most caps for Sussex's women's team and currently coaches the under-17 side, will assume new responsibilities with the senior, under-21, and under-19 teams.""]"
"['Brown has also had spells at Bradford, Doncaster, Oldham, Coventry, Ipswich, Watford and Carlisle, making over 50 appearances in the Football League.', ""He is available for Bury's League One season opener as they travel to Doncaster on Saturday.""]","['Brown has had multiple stints at several Football League clubs, including Bradford, Doncaster, Oldham, Coventry, Ipswich, Watford, and Carlisle, and has made over 50 appearances in the league.', ""He will be available for Bury's first League One match of the season, which takes place away at Doncaster on Saturday.""]"
"['""Keeping it classic is the twist,"" says Branagh, who started his directing career in 1989 with his adaptation of Shakespeare\'s Henry V.\n""I always felt that it\'s better to do a modern version of a story using the historical perspective, than say, make a story of Cinderella in Brooklyn in 2015.', 'But James disagrees that this Cinderella is an old-fashioned heroine, pointing out that at the start of Disney\'s 1950 classic, Cinderella ""is staring out of the window dreaming of the prince and waiting for him to rescue her"".']","['Branagh believes that revisiting timeless stories with a modern twist is more effective than updating classic tales to fit contemporary settings.', ""James argues that Cinderella is not an outdated heroine, citing the fact that she is shown daydreaming about the prince and anticipating his rescue at the beginning of Disney's 1950 adaptation.""]"
"['Perhaps this is not just about a song contest?', 'As for Julia Samoilova, instead of singing at Eurovision this week, she will be performing - once again - in Crimea.']","['Might there be more to this than just a singing competition?', 'Julia Samoilova will be taking the stage in Crimea instead of singing at Eurovision this week.']"
"['Alex McKechnie, then 16, was in the crowd for that first show and went on to be a regular at the club:\n""I saw The Beatles a few times in the north end of Liverpool and was working in Liverpool city centre as a messenger boy in a printing works when I heard that they were on at the Cavern in a lunchtime session.', '""It wasn\'t just the music and the singing, it was their lack of respect for the audience.']","[""Alex McKechnie, who was just 16 at the time, was a frequent attendee of the club's early shows and later worked as a messenger boy in Liverpool's city center, where he heard that The Beatles were performing a lunchtime session at the Cavern."", '""Their disregard for the audience\'s feelings and opinions was just as prominent as the music and the singing itself.""']"
"['Announcing the rate, which was proposed by a panel of advisers, the country\'s deputy president Cyril Ramaphosa said: ""We are now a step closer to finalising discussions on the national minimum wage.', 'It called for a higher minimum wage of at least 4,500 rand.']","['Deputy President Cyril Ramaphosa announced the proposed minimum wage rate, which was recommended by a panel of advisors, and stated that the country is now closer to finalizing talks on the national minimum wage.', 'It advocated for a minimum wage of at least 4,500 rand to be implemented.']"
"['His death has certainly created a leadership vacuum at the top and with no clear figure groomed to succeed him, the battle for succession could prove destabilising.', 'The death of Mr Meles has raised new anxieties among the regional allies with troops in Somalia.']","['His passing has left a power void at the top, and with no designated heir, the competition for succession could lead to instability.', 'The passing of Mr. Meles has sparked fresh concerns among the neighboring countries with military forces stationed in Somalia.']"
"[""Azhar's 110-ball half-century saw him pass 1,000 Test runs in 2016."", 'Australia lead the three-Test series 1-0, having beaten Pakistan by 39 runs in the opener at the Gabba.']","[""Azhar's 110-ball innings in 2016 helped him surpass the milestone of 1,000 Test runs."", 'Australia held a 1-0 lead in the three-Test series, having won the first match by 39 runs at the Gabba.']"
"['It was the first time the Single Transferable Vote (STV) system had been used to select two members in the same ward in a by-election.', 'The by-election was called after Ms Brock stood down when she was elected as the SNP MP for Edinburgh North and Leith in May.']","['For the first time in a by-election, the Single Transferable Vote (STV) system was employed to elect two representatives from the same ward, marking a novel application of the system.', 'The by-election was triggered after Ms Brock resigned from her position as the SNP MP for Edinburgh North and Leith, which she had won in May.']"
"['However Russia has complained the US has not done enough to separate the more moderate rebel groups, which it backs, from Jabhat Fateh al-Sham.', 'Meanwhile Turkey has said it will work with Russia on putting in place another ceasefire after the previous agreement collapsed.']","[""Despite Russia's claims, the US has not adequately distinguished between the more moderate rebel factions it supports and Jabhat Fateh al-Sham, which Russia views as a terrorist organization."", 'Turkey has announced its intention to collaborate with Russia in establishing a new ceasefire, following the failure of the previous agreement.']"
"[""Hooker Hughes, 20, featured for Llandovery during the 2015-16 season while 19-year-old flanker Evans has played for Scarlets' Under-18 side."", ""Both players have been included in Wales' squad for June's Junior World Championship.""]","[""Llandovery featured 20-year-old Hooker Hughes during the 2015-16 season, while 19-year-old flanker Evans has played for Scarlets' underage team."", 'Both players have been selected to represent Wales in the upcoming Junior World Championship, which takes place in June.']"
"['""The outgoing American administration led by Barack Obama, while accusing Russia of all deadly sins, trying to accuse us, among other things, of the failure of its foreign policy initiatives, as you know, without grounds, has brought forward additional accusations that the Russian side - at state level - was interfering with the US electoral campaign, as a result of which the Democratic candidate lost.', 'spoiling US-Russian relations and, obviously, having an impact on the foreign policy of the future administration of the president-elect [Donald Trump].""']","['The previous American administration, led by Barack Obama, levied unsubstantiated accusations against Russia for various misdeeds, including interfering with the US electoral process. Specifically, the administration claimed that the Russian government was involved in the election loss of the Democratic candidate.', ""Deteriorating US-Russian ties and potentially influencing the future foreign policy of President-elect Donald Trump's administration.""]"
"['There are no fees for Scottish students in Scotland and the Institute for Fiscal Studies says scrapping the lower fees charged in Northern Ireland and Wales would cost a further £500m per year.', 'And the most immediate example of getting rid of fees has been in Scotland.']","['Scottish students in Scotland do not pay any fees, and abolishing the lower fees charged in Northern Ireland and Wales would incur an additional £500 million per year, according to the Institute for Fiscal Studies.', 'Scotland has successfully eliminated fees, providing a timely and tangible example of their removal.']"
"['""The thoughts and prayers of everyone at West Sussex Fire and Rescue Service continue to be with the families and friends of those killed and injured in the Shoreham Air Show tragedy,"" he said.', ""After the crash, the pilot's family issued a statement which said they were devastated and deeply saddened by the loss of life and sent prayers and heartfelt condolences to the families of all those affected.""]","['""West Sussex Fire and Rescue Service extends its deepest condolences to the families and loved ones of those who lost their lives and were injured in the tragic Shoreham Air Show incident.""', ""The pilot's family was left grief-stricken and deeply sorrowful after the tragic incident, and they extended their heartfelt condolences to the families of all those who lost their lives.""]"
"['Top intelligence officials in the US government have taken a bunker mentality when it comes to the investigation into Russian meddling in the US election, refusing to share details of presidential conversations in open Senate testimony.', 'That may come as a relief to a White House that has been buffeted by a seemingly never-ending stream of controversial revelations, from allegations that the president attempted to influence the investigation into former National Security Advisor Michael Flynn to reports of internal divisions within the administration.']","['US government intelligence officials have adopted a defensive approach in response to the investigation into Russian interference in the 2016 presidential election, withholding specific information about presidential conversations during open Senate testimony.', ""The White House may find some comfort in the fact that these latest developments have not added to the already long list of contentious issues that have plagued the administration, ranging from allegations of the president's interference in the Michael Flynn investigation to reports of internal power struggles.""]"
"['The Rev Al Sharpton tweeted about a performance by Prince and Steve Wonder.', 'Mr Earnest did say the Obamas\' paid for the party on ""their own dime"", but would not say how much the party cost.']","['Reverend Al Sharpton shared a tweet about a collaborative performance by Prince and Stevie Wonder.', 'According to Mr. Earnest, the Obamas covered the cost of the party themselves, but he declined to disclose the exact amount spent.']"
"[""In BBC One's Doctor in the House, I try to help 34-year-old Emma Gleeson, who has been experiencing anxiety, depression and panic attacks for many years."", 'See how food can impact mental health on Doctor in the House, Monday, 21:00 BST on BBC One.']","[""As a medical professional on BBC One's Doctor in the House, I strive to support Emma Gleeson, a 34-year-old woman who has been struggling with anxiety, depression, and recurring panic attacks for an extended period of time."", 'Discover the fascinating link between food and mental wellbeing on Doctor in the House, airing on Monday at 21']"
"[""The surprise move prompted some suggestions Lee was manipulated into publishing the decades-old manuscript, which was discovered by her lawyer in the author's possessions last year."", 'The New York Times reported that the investigation was sparked by requests from a doctor that the state investigate whether Lee was capable to have consented to the release of the work.']","[""The unexpected publication of the decades-old manuscript, which was found by her lawyer in the author's possessions last year, has led some to speculate that Lee may have been coerced or manipulated into releasing the book."", ""According to The New York Times, the investigation was initiated based on a doctor's requests for the state to assess whether Lee had the capacity to give consent for the release of the work.""]"
"[""Russia said it regretted the US move, accusing it of shifting the blame for the collapse of last month's truce."", '""Unfortunately, Russia failed to live up to its own commitments... and was also either unwilling or unable to ensure Syrian regime adherence to the arrangements to which Moscow agreed.']","[""Russia expressed disappointment over the US's actions, claiming that the US was attempting to shift the responsibility for the failure of last month's ceasefire."", ""Russia did not fulfill its own obligations... and was either unwilling or incapable of ensuring the Syrian government's compliance with the agreements that Moscow had accepted.""]"
"['The New York Times describes Mr Khan\'s victory as ""striking"" and leads with the fact that he is London\'s first Muslim mayor.', 'History Professor Juan Cole points out that Mr Khan is by no means the first Muslim in charge of a European city.']","[""The New York Times characterizes Mr. Khan's victory as a striking achievement, with a focus on the historic milestone of London electing its first Muslim mayor."", 'According to History Professor Juan Cole, Mr Khan is not the first Muslim individual to hold a leadership position in a European city.']"
"[""The song, written by the children with the help of the church's musical director Rachel Hesselwood, listed the qualities the new vicar needed."", 'It ends with a promise by the children to keep the church tidy and not to ""talk in your sermons, we\'ll be good you\'ll see"".']","[""The song, penned by the children under the guidance of the church's musical director Rachel Hesselwood, highlighted the desired qualities of the new vicar."", ""The children commit to maintaining the church's cleanliness and refrain from speaking during sermons, ensuring a peaceful and respectful atmosphere.""]"
"['But, after seeing a specialist, the £55m former Wolfsburg player said: ""I\'ll be out for around 10 weeks.""', 'De Bruyne could miss up to 13 league and cup games, including the League Cup final with Liverpool on 28 February, both legs of the Champions League last-16 tie with Dynamo Kiev and the Manchester derby on 20 March.']","['The £55m former Wolfsburg player announced that they would be taking a break from play for approximately 10 weeks after consulting a specialist.', 'De Bruyne may be absent for up to 13 matches across the league and cup competitions, including the League Cup final against Liverpool on February 28th, both legs of the Champions League round of 16 against Dynamo Kiev, and the Manchester derby on March 20th.']"
"['The attacker, a 27-year-old Swiss man, also died on Sunday, they said.', 'The seventh injured person was a man on the platform who pulled the burning attacker off the train.']","['According to the authorities, the attacker, a 27-year-old man from Switzerland, also lost his life on Sunday.', 'A man on the platform bravely pulled the attacker off the train as they were engulfed in flames, becoming the seventh injured person.']"
"['Devon and Cornwall Police conducted a search of the area but have not found the drone or operator.', 'Latest on the drone near miss, and other stories from Devon and Cornwall\n""The close proximity of the drone to the passenger aircraft shows a complete disregard by the operator for public safety and we are appealing to the public for information to help us track down this reckless drone operator,"" Insp Meredith said.']","['The Devon and Cornwall Police conducted a thorough search of the area but were unable to locate the drone or its operator.', ""Inspector Meredith expressed concern about the drone's close call with a passenger aircraft, emphasizing the operator's blatant disregard for public safety. The police are now appealing to the public for information to help identify and hold the reckless drone operator accountable.""]"
"['The grey seal was found at Cruden Bay on Tuesday.', ""The Scottish SPCA removed the seal from beach and took it to the charity's rescue centre where it was cut free.""]","['The grey seal was discovered at Cruden Bay on Tuesday.', 'The Scottish SPCA rescued the seal from the beach and transported it to their rescue center, where it was set free from the entanglement.']"
"['The archive of travel writer, war hero and adventurer Sir Patrick Leigh Fermor has been catalogued by the National Library of Scotland.', ""The trek provided the material for his most famous books, 'A Time of Gifts', 'Between the Woods and the Water' and 'The Broken Road'.""]","['The extensive collection of travel writings, wartime experiences, and adventurous exploits of Sir Patrick Leigh Fermor has been thoroughly organized and catalogued by the National Library of Scotland.', ""The experiences he had on the trek served as the inspiration for his most renowned works, including 'A Time of Gifts', 'Between the Woods and the Water', and 'The Broken Road'.""]"
"[""Mr Roache, who is secretary of the union's Yorkshire region, won 56.7% of the vote, while the only other candidate, Paul McCarthy, from the North West region, had 43.3%."", 'Mr Roache also paid tribute to Mr Kenny for his work ""that has made GMB the envy of the union movement"".']","[""Mr. Roache, the secretary of the union's Yorkshire region, garnered 56.7% of the votes, while his opponent, Paul McCarthy from the North West region, received 43.3% of the votes."", 'Mr Roache praised Mr Kenny for his contributions that have positioned GMB as a model for the union movement.']"
"[""So, it's perhaps surprising that the singer let us tag along as she kicked off the new series of Later... with Jools Holland."", ""The singer takes some me-time behind her shades, safe in the knowledge it's going to be a long day.""]","[""It's intriguing that the singer allowed us to join her as she began the new season of Later... with Jools Holland, considering her status as a prominent performer."", 'The singer retreats to a private space, shielding herself behind her sunglasses and bracing herself for a lengthy day ahead.']"
"['""Of course, now I want to prove I can still be a Premier League player.""', 'He made his return to the Newcastle first team for the 1-0 defeat by Manchester United on 4 March as a substitute.']","['""I am determined to demonstrate my ability to excel as a Premier League player.""', 'He rejoined the Newcastle first team on March 4th as a substitute in the 1-0 loss to Manchester United.']"
"['The club, which is owned by its fans via the Exeter City Supporters Trust, declared a total profit of £1.642m for 2014-15, mainly due to the sale of midfielder Matt Grimes to Swansea City.', ""The club's accounts also show that Exeter had a surplus of shareholders' funds of £761,000, compared to a deficit of £880,000 the previous year and reduced their cost base by almost 5%.""]","['The fan-owned club, Exeter City, reported a profit of £1.642m for the 2014-15 season, largely due to the sale of midfielder Matt Grimes to Swansea City.', ""The club's financial records indicate that Exeter had a surplus of £761,000 in shareholders' funds, a significant improvement from the previous year's deficit of £880,000, and reduced their operating costs by almost 5%.""]"
"['Majid Rashed, vice president of the UAE International Paralympic Committee, confirmed ""the throwing cage collapsed on the athlete\'s head"".', '""I can say the throwing cage collapsed on the athlete\'s head - but how that happened, we can not say,"" Rashed said on Wednesday.']","[""According to Majid Rashed, the vice president of the UAE International Paralympic Committee, the throwing cage suddenly collapsed onto the athlete's head."", '""Rashed suggested that the throwing cage may have fallen onto the athlete\'s head, but the exact circumstances surrounding the incident are unclear.""']"
