Original,Paraphrased
"[""London (CNN)A 19-year-old man was charged Wednesday with terror offenses after he was arrested as he returned to Britain from Turkey, London's Metropolitan Police said."", 'Yahya Rashid, a UK national from northwest London, was detained at Luton airport on Tuesday after he arrived on a flight from Istanbul, police said.', ""He's been charged with engaging in conduct in preparation of acts of terrorism, and with engaging in conduct with the intention of assisting others to commit acts of terrorism.""]","[""According to London's Metropolitan Police, a 19-year-old man was charged with terrorism-related offenses on Wednesday after he was arrested upon his return to Britain from Turkey."", 'According to the police, Yahya Rashid, a resident of northwest London in the UK, was taken into custody at Luton airport on Tuesday after he landed on a flight from Istanbul.', 'He has been accused of planning and intent to commit acts of terrorism, as well as assisting others in doing so.']"
"['(CNN)Paul Walker is hardly the first actor to die during a production.', 'At the premiere Wednesday night in Hollywood, Walker\'s co-star and close friend Vin Diesel gave a tearful speech before the screening, saying ""This movie is more than a movie.""', '""There\'s something emotional that happens to you, where you walk out of this movie and you appreciate everyone you love because you just never know when the last day is you\'re gonna see them.""', ""CNN's Paul Vercammen contributed to this report.""]","['(CNN)Paul Walker is not the first actor to meet a tragic end during the filming of a movie.', ""At the Hollywood premiere on Wednesday evening, Vin Diesel, Walker's co-star and close friend, delivered an emotional speech before the screening, emphasizing that the film is more than just a movie."", '""Watching this movie can evoke a deep emotional response, causing you to cherish the people you love, as you never know when you might lose them.""', ""CNN's Paul Vercammen was a contributor to this report.""]"
"['But new research released by the Anne Frank House shows that Anne and her older sister, Margot Frank, died at least a month earlier than previously thought.', 'Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial, along with testimonies of survivors.', '""Because of the lice infesting the bedstraw and her clothes, Anne was exposed to the main carrier of epidemic typhus for an extended period,"" museum researchers wrote.', 'Margot died before Anne.']","['According to recent research from the Anne Frank House, Anne and her older sister Margot passed away at least a month earlier than previously believed.', 'Researchers reviewed and analyzed historical records from the Red Cross, the International Training Service, and the Bergen-Belsen Memorial, as well as personal accounts from survivors.', 'Anne was exposed to the primary vector of epidemic typhus for an extended period due to the presence of lice in the bedstraw and her clothing.', ""Anne was born after Margot's passing.""]"
"[""(CNN)If you're famous and performing the American national anthem, be prepared to become a national hero or a national disgrace."", 'Just ask Vince, Whitney, Roseanne, Jimi and Michael.', 'The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV.', 'Just six months earlier, comedian Roseanne Barr may have established the low-water mark.']","['When celebrities perform the American national anthem, they risk gaining widespread acclaim as a national hero or facing intense criticism as a national disgrace.', 'Vince, Whitney, Roseanne, Jimi, and Michael can all confirm.', ""Whitney Houston's iconic rendition of the national anthem at Super Bowl XXV established a new benchmark for future performances of the song."", 'Roseanne Barr may have set a new benchmark for low ratings just six months prior.']"
"['But it was the opposition from Walmart, the ubiquitous retailer that dots the American landscape, that perhaps resonated most deeply, providing the latest evidence of growing support for gay rights in the heartland.', ""Walmart's staunch criticism of a religious freedom law in its home state of Arkansas came after the company said in February it would boost pay for about 500,000 workers well above the federal minimum wage."", 'The party\'s leaders must be ""willing to put forward ideas that will help modest income workers, such as a reasonable increase in the minimum wage, and prohibit discrimination in things such as jobs, housing, public accommodation against gays and lesbians.""', ""Hours after the company's CEO, Doug McMillon, called on Republican Gov."", 'Asa Hutchinson to veto the bill, the governor held a news conference and announced he would not sign the legislation unless its language was fixed.', ""Walmart's opposition to the religious freedom law once again puts the company at odds with many in the Republican Party, which the company's political action committee has tended to support."", 'After Indiana Gov.', '""What we\'re seeing over the past week is a tremendous amount of support from the business community who are standing up and are sending that equality is good for business and discrimination is bad for business,"" said Jason Rahlan, spokesman for the Human Rights Campaign.']","[""Walmart's opposition, as a ubiquitous retailer with a wide presence across the American landscape, may have carried the most weight, highlighting the growing support for gay rights in the heartland."", ""Walmart's strong opposition to a religious freedom law in its home state of Arkansas followed shortly after the company announced in February that it would significantly increase the pay of around 500,000 employees, far exceeding the federal minimum wage."", ""The party's leaders must propose policies that benefit moderate-income workers, such as a fair minimum wage hike and protections against discrimination in employment, housing, and public services based on sexual orientation or gender identity."", 'Doug McMillon, the CEO of the company, urged Republican Governor [insert name here] to take action hours after [insert event/issue here].', 'Governor Asa Hutchinson stated that he would veto the bill unless its language was revised, which he announced at a news conference.', ""Walmart's stance against the religious freedom law has put the company in conflict with many members of the Republican Party, who have historically received support from the company's political action committee."", 'Following the leadership of Indiana Governor [insert name here].', '""There has been a significant show of support from the business community over the past week, with many companies standing up to assert that equality is beneficial for business and discrimination is harmful,"" according to Jason Rahlan, spokesperson for the Human Rights Campaign.']"
"['Today, Amnesty International releases its annual review of the death penalty worldwide.', 'Much of it makes for grim reading.', 'Other countries made use of executions in similarly flawed attempts to address -- or appear to address -- crime rates.', 'Those governments that still execute need to realize that they are on the wrong side of history.']","['Amnesty International has published its annual assessment of the use of the death penalty globally, covering developments and trends from around the world.', 'The content is distressing and unpleasant to read.', 'Other nations employed similar ill-conceived strategies, such as capital punishment, to address or pretend to address rising crime rates.', 'Governments that continue to impose the death penalty are out of step with the prevailing trend of history.']"
"['Marseille, France (CNN)The French prosecutor leading an investigation into the crash of Germanwings Flight 9525 insisted Wednesday that he was not aware of any video footage from on board the plane.', 'Marseille prosecutor Brice Robin told CNN that ""so far no videos were used in the crash investigation.""', 'Paris Match and Bild reported that the video was recovered from a phone at the wreckage site.', 'Reichelt told ""Erin Burnett: Outfront"" that he had watched the video and stood by the report, saying Bild and Paris Match are ""very confident"" that the clip is real.', ""German airline Lufthansa confirmed Tuesday that co-pilot Andreas Lubitz had battled depression years before he took the controls of Germanwings Flight 9525, which he's accused of deliberately crashing last week in the French Alps."", 'Lubitz told his Lufthansa flight training school in 2009 that he had a ""previous episode of severe depression,"" the airline said Tuesday.']","['The French prosecutor overseeing the investigation into the crash of Germanwings Flight 9525 asserted on Wednesday that he had not been made aware of any video recordings taken within the aircraft.', 'According to Marseille prosecutor Brice Robin, no video footage has been utilized in the investigation into the crash.', 'According to Paris Match and Bild, the video was retrieved from a phone found at the crash site.', 'According to Reichelt, he had viewed the video and maintained that the report was accurate, stating that Bild and Paris Match were confident in the authenticity of the clip.', 'Lufthansa has confirmed that the co-pilot of Germanwings Flight 9525, Andreas Lubitz, had a history of depression before he allegedly deliberately crashed the plane in the French Alps last week.', ""Lubitz disclosed to his Lufthansa flight training school in 2009 that he had previously experienced a severe episode of depression, according to the airline's statement on Tuesday.""]"
"['(CNN)The Rev.', 'Robert H. Schuller, California televangelist and founder of the television ministry ""Hour of Power,"" died Thursday, according to his family.', 'He was 88 years old.', 'Schuller, also the founder of Crystal Cathedral megachurch, had been diagnosed with esophageal cancer in August 2013, a release from ""Hour of Power"" said.', 'The message was clear to many: The road to the former ran through the latter.', 'Bobby Schuller Jr. left ""Hour of Power"" and the pulpit at Crystal Cathedral after a short time.']","['(CNN)The Reverend.', 'Robert H. Schuller, a well-known televangelist from California and the founder of the popular television ministry ""Hour of Power,"" passed away on Thursday, as confirmed by his family.', 'He was in his late 80s.', 'Schuller, who founded the Crystal Cathedral megachurch, was diagnosed with esophageal cancer in August 2013, according to a statement released by ""Hour of Power.""', 'The message was obvious to many', 'Bobby Schuller Jr. departed from his position at ""Hour of Power"" and the pulpit at Crystal Cathedral after a brief period of time.']"
"['""With his Iran deal, Barack Obama is for the 300 million souls of the United States what Andreas Lubitz was for the 150 souls on the German Wings flight - a deranged pilot flying his entire nation into the rocks,"" the Minnesota Republican and former representative wrote in a Facebook comment posted March 31.', 'Many comments posted on her Facebook page blasted the former representative.', 'Bachmann is no stranger to voicing her opinion on the President\'s dealing with Iran, personally telling him to ""bomb Iran"" during the 2014 White House Christmas Party.']","['""Obama\'s Iran deal is like Lubitz flying German Wings into the rocks, putting the entire nation at risk.""', 'Numerous critical comments were left on her Facebook page, sharply criticizing the former representative.', ""Bachmann has previously expressed her strong views on the President's approach to Iran, directly telling him at a Christmas party in 2014 to consider military action against the country.""]"
"['It was in bad shape, listing to one side.', '""He looked good.', '""I know he went through what he went through,"" Frank Jordan said.', ""Grenz was also surprised by Jordan's condition, physically and mentally.""]","['The object was tilting severely to one side, indicating that it was in poor condition.', 'He appeared attractive and well-groomed.', '""Frank Jordan acknowledged the difficulties that the person had faced.""', ""Grenz was taken aback by Jordan's physical and emotional state, which was worse than expected.""]"
"[""It would reduce Iran's low-enriched uranium stockpile, cut by two-thirds its number of installed centrifuges and implement a rigorous inspection regime."", 'The restrictions and obligations in the final framework agreement will be imposed almost exclusively on Iran.', 'This agreement should be judged on its merits and on how it affects the security of our negotiating partners and allies, including Israel.']","[""Iran's low-enriched uranium stockpile would be significantly reduced, and the number of installed centrifuges would be cut by two-thirds, as part of a rigorous inspection regime."", 'The majority of the limitations and responsibilities outlined in the final framework agreement will be placed on Iran.', 'This agreement should be evaluated based on its own inherent value and its impact on the security of our partners and allies, such as Israel.']"
"[""That's because California is a breadbasket to the nation, growing more than a third of its vegetables and nearly two-thirds of its fruits and nuts."", 'In 2014, one expert predicted consumers would pay more for some groceries because of the California drought.', 'Like asking for a glass of water at a restaurant.', 'But what about those yummy California wines, you ask?', 'The 2014 wine grape harvest was ""third in a string of great vintages this decade,"" the Wine Institute says.', '""With the record high California wine grape harvests in 2012, 2013 and 2014, there is a good supply of California wine.""']","['California plays a vital role in feeding the nation, producing over a third of its vegetables and nearly two-thirds of its fruits and nuts.', 'According to an expert in 2014, consumers might have to shell out more money for certain groceries due to the severe drought in California.', 'Requesting a glass of water at a restaurant.', 'You might be wondering about the delicious California wines, I presume?', 'According to the Wine Institute, the 2014 wine grape harvest was the third exceptional vintage this decade, following two previous great harvests.', '""The bumper California wine grape harvests in 2012, 2013, and 2014 have resulted in a plentiful supply of California wine.""']"
"['(CNN)The FBI charged a Philadelphia woman on Thursday with trying to travel overseas to fight for ISIS.', ""She's one of three women arrested this week on terror charges."", 'Two New York women were also taken into custody.', 'An FBI complaint cites numerous social media messages dating back to August 2013 that were sent by Keonna Thomas, 30, also known as ""Young Lioness"" and ""Fatayat Al Khilafah.""', ""In the past 18 months, the Justice Department's National Security Division has prosecuted or is prosecuting more than 30 cases of people attempting to travel abroad to join or provide support to terrorist groups."", '""It involves the potential lone wolf actor, it involves the effective use of social media, the Internet.""']","['According to CNN, a woman from Philadelphia was charged by the FBI on Thursday for attempting to join the Islamic State (ISIS) by traveling abroad to fight for the terrorist organization.', 'She was one of three females taken into custody this week on allegations of terrorism.', 'Two female residents of New York were also detained by law enforcement.', 'According to an FBI complaint, Keonna Thomas, 30, who went by the names ""Young Lioness"" and ""Fatayat Al Khilafah"" on social media, sent numerous messages dating back to August 2013.', ""Over the past 18 months, the Justice Department's National Security Division has pursued legal action against more than 30 individuals attempting to leave the country to join or support terrorist organizations."", '""It encompasses the possibility of a solitary individual using social media and the internet to their advantage.""']"
"['But the situation appears set to improve in the coming months after a top Iranian sports official said that the ban will be lifted for some events.', 'According to the state-run Press TV, Ahmadi said the restrictions would be lifted for indoor sports events.', 'The rules won\'t change for all matches because some sports are mainly related to men and ""families are not interested in attending"" them, Press TV cited him as saying.']","['According to a high-ranking Iranian sports official, the ban on certain events is expected to be lifted in the near future, signaling an improvement in the current situation.', 'Ahmadi reportedly stated that the government plans to lift restrictions on indoor sports events, as per the state-run Press TV.', 'The rules will remain unchanged for all matches, as some sports are traditionally associated with men and do not attract significant interest from families, according to Press TV.']"
"['Going online has become the path of least resistance if you want to make yourself heard.', 'Since 1992, 11% of journalists killed have died for their work online.', 'While most bloggers have not been the targets of murderers, Bangladesh has recently become the exception.', 'Where there is the restrictive rule of law, journalists are vulnerable to the anger of officialdom.']","[""In today's digital age, taking your message online is often the most convenient and effective way to reach a wide audience."", 'In the past 28 years, approximately 11% of journalists who have lost their lives have done so while reporting online.', 'In contrast to most bloggers who have not been subjected to violence, Bangladesh has seen a spate of murders targeting bloggers in recent times.', 'In environments where strict legal frameworks are in place, journalists are at risk of facing the wrath of those in positions of authority.']"
"['(CNN)When singer Avril Lavigne went missing from the music scene, there was tons of speculation.', 'Was she pregnant?', 'Now the Canadian singer has revealed to People magazine that she was bedridden for five months after contracting Lyme disease.', 'Lavigne believes that she was bitten by a tick last spring.', '""There were definitely times I couldn\'t shower for a full week because I could barely stand,"" she told People.']","[""(CNN)Avril Lavigne's sudden disappearance from the music scene sparked widespread speculation."", 'Did she appear to be expecting a child?', 'The Canadian singer has confided to People magazine that she was unable to leave her bed for a period of five months due to a diagnosis of Lyme disease.', 'Lavigne suspects that she was infected by a tick bite last spring.', '""On certain occasions, she was unable to take a shower for a full week due to her physical limitations, and she struggled to maintain her balance.""']"
"[""(CNN)A trip to a former heavyweight champ's gaudy, abandoned mansion."", 'These are some of the best videos of the week: .', ""In the 1980s and '90s -- before he moved to Vegas and started keeping tigers as pets -- former heavyweight boxer Mike Tyson lived in a Southington, Ohio, mansion."", ""CNN's Karl Penhaul spoke to a shepherd who witnessed the final seconds of Germanwings Flight 9525, which crashed in the French Alps last week.""]","['Exploring a lavish, long-abandoned estate once owned by a famous boxer.', 'Here are some of the most notable videos from the past week', ""Before relocating to Las Vegas and acquiring exotic pets like tigers, former heavyweight boxer Mike Tyson resided in a grand mansion in Southington, Ohio, during the 1980s and '90s."", 'According to CNN correspondent Karl Penhaul, a shepherd witnessed the last moments of Germanwings Flight 9525 before it crashed in the French Alps last week.']"
"['Washington (CNN)Israeli Prime Minister Benjamin Netanyahu criticized the deal six world powers struck to thwart Iran\'s nuclear ambitions, saying he sees better options than ""this bad deal or war.""', '""I think there\'s a third alternative, and that is standing firm, ratcheting up the pressure until you get a better deal,"" Netanyahu told CNN\'s Jim Acosta Sunday on ""State of the Union.""', 'His comments come as Democrats and Republicans spar over the framework announced last week to lift Western sanctions on Iran in exchange for the country dropping from 19,000 to 5,060 active centrifuges, limiting its highly enriched uranium, and increasing inspections.', 'On Sunday, the sparring continued.']","[""Israeli Prime Minister Benjamin Netanyahu voiced disapproval of the agreement reached by six world powers to limit Iran's nuclear program, suggesting that he prefers alternative solutions to either this flawed accord or the prospect of war."", '""Another option could be to maintain a firm stance and escalate the pressure until a more favorable agreement is reached,"" Netanyahu said to CNN\'s Jim Acosta on Sunday during an appearance on ""State of the Union.""', 'His remarks coincide with ongoing debates between Democrats and Republicans over the agreement reached last week, which involves the lifting of sanctions on Iran in exchange for the country reducing its centrifuges, limiting its highly enriched uranium production, and increasing inspections.', 'The sparring persisted on Sunday.']"
"['(CNN)Police in the Indian city of Malegaon, in the western state of Maharashtra, are requiring identity cards for an unusual group of residents: Cattle.', ""Following a recent state-wide ban on the sale and consumption of beef, authorities in the city have asked residents to take a 'mugshot' of their cattle and submit it to the police."", 'Police officials believe this is the only way to solve cow slaughter cases and enforce the law.', ""Cows are considered holy and revered by that state's majority Hindu population."", 'The ruling came in the wake of a recent case of cow slaughter in Malegaon, where two men have been charged for killing the animal and and selling its meat.']","['Police in Malegaon, India are now demanding identity cards for a unique group of residents - cattle.', 'After the recent prohibition of beef sales and consumption in the state, the local authorities have requested that residents provide a photograph of their cattle to the police for documentation.', 'Law enforcement authorities believe that this method is the only way to effectively address cow slaughter cases and uphold the law.', 'The majority Hindu population of the state holds cows in high esteem and regards them as sacred.', 'The court decision was made following a recent incident in Malegaon where two individuals were accused of killing a cow and selling its meat.']"
"['Louis Jordan says that he set off on his 35-foot sailboat from South Carolina in late January.', ""Jose Salvador Alvarenga says his journey began in Paredon Viejo, a port on Mexico's Pacific coast, in late 2012."", 'Castaway recounts how he survived over a year adrift in Pacific .', 'Son vindicated as father rescued after 12 days at sea .', 'His home was one of the tens of thousands destroyed by the the huge, powerful tsunami wave.', '""But my wife was swept away.\'']","['Louis Jordan embarked on a sailing journey from South Carolina in late January aboard his 35-foot sailboat.', 'According to Jose Salvador Alvarenga, his adventure commenced in Paredon Viejo, a coastal town in southern Mexico, in the final months of 2012.', 'Stranded on a deserted island, the castaway shares the tale of how he endured over a year of solitude in the vast Pacific Ocean.', ""Son's suspicions proved true as father is saved after 12 days stranded at sea."", 'His residence was among the tens of thousands of structures devastated by the massive, ferocious tsunami wave.', '""My wife was suddenly and forcefully taken away.""']"
"['The Large Hadron Collider (LHC), a particle accelerator and the largest machine in the world, is ready for action following a two-year shutdown.', ""After problems that delayed the restart in March, scientists at the European Organization for Nuclear Research (CERN) completed final tests, enabling the first beams to start circulating Sunday inside the LHC's 17 mile (27 km) ring."", '""But we know that this model is not complete,"" Dr. Mike Lamont, operations group leader at the LHC, told CNN in March.', '""After two years of effort, the LHC is in great shape,"" said CERN Director for Accelerators and Technology, Frédérick Bordry.']","['The Large Hadron Collider (LHC), the most extensive machine globally, has resumed operations after a two-year hiatus, ready to propel particles at unprecedented speeds.', ""Following the resolution of issues that had caused a delay in the restart in March, scientists at the European Organization for Nuclear Research (CERN) have successfully completed final tests, allowing the first beams to begin circulating on Sunday within the Large Hadron Collider's (LHC) 17-mile (27 km) underground ring."", 'Dr. Mike Lamont, the operations group leader at the LHC, emphasized to CNN in March that the model they are using is not perfect.', '""Thanks to two years of diligent work, the Large Hadron Collider (LHC) is now in excellent condition,"" according to Frédérick Bordry, the Director for Accelerators and Technology at CERN.']"
"['In the end, two agents were injured in a crash and the suspect was shot before being captured.', 'Charleston is suspected of involvement in 32 commercial robberies dating to November 2013, according to FBI officials.', ""Emmett says he's relieved that the FBI's officers and agents are OK and that the suspect is in custody.""]","['After a high-speed chase, two law enforcement officials were hurt in a collision, and the culprit was shot before being apprehended.', 'According to FBI officials, Charleston is believed to have been involved in 32 commercial robberies dating back to November 2013.', ""Emmett expresses gratitude that the FBI's personnel are safe and that the perpetrator has been apprehended.""]"
"['The total eclipse will only last four minutes and 43 seconds, and NASA says that makes it the shortest one of the century.', 'While people west of the Mississippi River will have the best view, at least a partial eclipse will be visible across the nation.', ""Parts of South America, India, China and Russia also will be able to see the eclipse, but it won't be visible in Greenland, Iceland, Europe, Africa or the Middle East."", 'Some people have nicknamed the effect the ""blood moon.""', 'Did you see the total lunar eclipse?']","['The total eclipse will briefly last for just over four minutes and 43 seconds, making it the shortest one this century according to NASA.', 'The eclipse will be visible from coast to coast, with those located west of the Mississippi River having the most optimal viewing experience, but all Americans will have the opportunity to witness at least a partial eclipse.', 'Certain regions in South America, India, China, and Russia will be able to witness the eclipse, but it will not be visible in Greenland, Iceland, Europe, Africa, or the Middle East.', 'The phenomenon has been dubbed the ""blood moon"" by some.', 'Did you catch the spectacular lunar eclipse last night?']"
