Original,Paraphrased
"['WASHINGTON (Reuters) - The U.S. Congress on Wednesday overwhelmingly approved and sent to President Barack Obama legislation preventing government shutdowns at the end of this week by temporarily funding federal agencies through Dec. 9.', 'Final action in Congress came when the House of Representatives overwhelmingly approved the bill.']","['The U.S. Congress has decisively passed and sent to President Barack Obama a bill preventing imminent government shutdowns by providing temporary funding for federal agencies until December 9.', 'The House of Representatives passed the bill with an overwhelming majority.']"
"['(Reuters) - New York state Attorney General Eric Schneiderman intends to sue the federal government if Republican lawmakers pass proposed legislation to overhaul the U.S. healthcare system, his office said on Monday.', 'A group of Democrats led by Schneiderman and California Attorney General Xavier Becerra earlier this year sought to intervene in a pending lawsuit in order to defend subsidies paid to health insurers under Obamacare.']","[""New York state Attorney General Eric Schneiderman plans to take legal action against the federal government if Republican lawmakers pass a bill to revamp the US healthcare system, according to his office's statement on Monday."", 'A group of Democratic lawmakers, led by Eric Schneiderman and California Attorney General Xavier Becerra, attempted to join a pending lawsuit earlier this year to defend the government subsidies provided to health insurers under the Affordable Care Act.']"
"['WASHINGTON (Reuters) - President Donald Trump picked a new fight on Thursday with his fellow Republicans, saying congressional leaders could have avoided a “mess” over raising the U.S. debt ceiling if they had taken his advice.', 'Could have been so easy-now a mess!” Trump said in Twitter posts.']","['President Trump accused Congressional leaders of creating a ""mess"" by not following his guidance when raising the U.S. debt ceiling, picking a new fight with his own party on Thursday.', '""It could have been a straightforward situation, but now it\'s a complicated mess, according to Trump\'s tweets.""']"
"['King Salman, the first sitting Saudi monarch ever to visit Russia, led a delegation to Moscow that agreed joint investment deals worth several billion dollars, providing much-needed investment for a Russian economy battered by low oil prices and Western sanctions.', 'His Saudi counterpart, Adel al-Jubeir, said new horizons had opened for Russia-Saudi ties that he could not previously have imagined.']","['King Salman, the first Saudi monarch to ever visit Russia while in power, brought a delegation to Moscow that finalized joint investment agreements totaling several billion dollars, providing much-needed financial support for the Russian economy, which has been struggling due to low oil prices and international sanctions.', 'Adel al-Jubeir revealed that previously unforeseeable opportunities had arisen for Russia-Saudi relations, marking a significant shift in their bilateral ties.']"
"['MUNICH (Reuters) - U.S. Republican senators plan to introduce legislation to impose further sanctions on Iran, accusing it of violating U.N. Security Council resolutions by testing ballistic missiles and acting to “destabilise” the Middle East, a U.S. senator said Sunday.', '“There’s going to be a conversation about what the proportional response is,” Murphy said, referring to Iran’s missile test.']","['U.S. Republican senators are preparing to introduce legislation that would impose additional sanctions on Iran, citing alleged violations of United Nations Security Council resolutions through its testing of ballistic missiles and actions that are believed to destabilize the Middle East region.', '""According to Murphy, there will be a discussion about the appropriate level of retaliation in response to Iran\'s recent missile test.""']"
"['WASHINGTON (Reuters) - President Donald Trump will honor a U.S. agreement with Australia to accept refugees housed on islands off that country’s coast although he is unhappy about the deal, the White House said on Thursday.', '“The deal that was cut by the last administration is something that he’s extremely, extremely upset with,” White House spokesman Sean Spicer said at a news briefing.']","['President Trump will fulfill a commitment to accept refugees from Australia, despite his misgivings about the agreement, as stated by the White House on Thursday.', '""The previous administration\'s agreement left the current White House official extremely displeased.""']"
"['WASHINGTON (Reuters) - The new U.S. administration of President Donald Trump said on Friday its trade strategy to protect American jobs would start with withdrawal from the 12-nation Trans-Pacific Partnership (TPP) trade pact.', 'A White House statement issued soon after Trump’s inauguration said the United States would also “crack down on those nations that violate trade agreements and harm American workers in the process.” The statement said Trump was committed to renegotiating another trade deal, the North American Free Trade Agreement (NAFTA), which was signed in 1994 by the United States, Canada and Mexico.']","['The Trump administration announced on Friday that its plan to safeguard American employment would begin with the withdrawal of the United States from the Trans-Pacific Partnership (TPP) trade agreement, which involves 12 countries.', 'The Trump administration vowed to take a tough stance on countries that breach trade agreements and harm American workers, with a focus on renegotiating the North American Free Trade Agreement (NAFTA) signed in 1994 by the US, Canada, and Mexico.']"
"['ISLAMABAD (Reuters) - The Khyber Pass border between Pakistan and Afghanistan was closed to all traffic on Tuesday for the return of a Pakistani diplomat who was shot dead in Afghanistan by unknown gunmen.', 'The Pakistan-Afghanistan border was closed for all types of traffic.']","['Pakistan and Afghanistan closed the Khyber Pass border on Tuesday to all traffic, as a Pakistani diplomat who was killed by unknown gunmen in Afghanistan was returned to Pakistan.', 'The frontier between Pakistan and Afghanistan was shut down for all forms of transportation.']"
"['NEW YORK (Reuters) - A meeting in New York on Thursday between U.S. President-elect Donald Trump and Japanese Prime Minister Shinzo Abe has ended, a Trump transition team official said.', 'The hastily arranged meeting was an attempt to smooth relations following Trump’s campaign rhetoric that cast doubt on long-standing U.S. alliances.']","[""A meeting between U.S. President-elect Donald Trump and Japanese Prime Minister Shinzo Abe in New York on Thursday has concluded, according to an official from Trump's transition team."", ""The impromptu gathering aimed to mitigate tensions after Trump's election platform raised concerns about the stability of traditional U.S. alliances.""]"
"['WASHINGTON (Reuters) - Democratic Party communications director Luis Miranda is expected to leave the Democratic National Committee on Tuesday amid fallout from the party’s email hacking scandal, a source familiar with the matter told Reuters.']","[""According to a source familiar with the matter, Luis Miranda, the communications director for the Democratic Party, is expected to depart the Democratic National Committee on Tuesday, amidst the ongoing fallout from the party's email hacking scandal.""]"
"['LOUISVILLE, Ky. (Reuters) - Officials for a Kentucky county will appeal a federal judge’s ruling that invalidated its right-to-work law, the county’s lawyer said on Thursday.', 'The ruling affects only Hardin County in north-central Kentucky, one of 12 to have passed a right-to-work law.']","[""The county's lawyer has announced that they will challenge a recent federal judge's decision that deemed their right-to-work law invalid."", 'The court decision only applies to Hardin County in north-central Kentucky, one of twelve states that have enacted right-to-work laws.']"
"['THE HAGUE (Reuters) - After blocking U.N. Security Council action against Syria, Russia has proposed changing the rules for inspectors at the world s chemical weapons body in The Hague, a move Western diplomats and experts said would undermine its work.', 'Syria denied using chemical weapons.']","[""Russia, after thwarting UN Security Council action against Syria, has suggested altering the rules for inspectors at the international chemical weapons watchdog in The Hague, a move that Western diplomats and experts believe would weaken the organization's effectiveness."", 'Syria refuted allegations of using chemical weapons.']"
"['(Reuters) - Highlights of the day for U.S. President Donald Trump’s administration on Friday: Trump backs a decision by his former national security adviser, Michael Flynn, to seek immunity in congressional investigations of possible ties between his campaign and Russia, but there is no immediate sign the request will be granted.', 'Trump will seek to rebuild the U.S. relationship with Egypt at a meeting on Monday with Egyptian President Abdel Fattah al-Sisi focused on security issues and military aid, a senior White House official says.']","[""According to Reuters, on Friday, the highlights of U.S. President Donald Trump's administration included his support for his former national security adviser, Michael Flynn, who has sought immunity in congressional investigations into potential connections between the campaign and Russia. However, there is no indication that the request will be granted immediately."", 'The Trump administration plans to revitalize the partnership between the US and Egypt during a meeting on Monday with Egyptian President Abdel Fattah al-Sisi, with a primary focus on security matters and military assistance, according to a senior White House official.']"
"['WASHINGTON (Reuters) - Democratic presidential front-runner Hillary Clinton on Tuesday released her personal financial disclosure form, covering Jan. 1, 2015, to the present, with a call to Republican Donald Trump to make available his income tax returns.', 'Clinton’s own disclosure form showed more than $5 million in royalties from her memoir “Hard Choices.” Trump earlier in the day announced that he had filed his personal financial disclosure to the Federal Election Commission on Monday.']","['Hillary Clinton, the leading Democratic presidential candidate, revealed her personal financial disclosure form on Tuesday, spanning from January 1, 2015, to the present, and urged her Republican rival Donald Trump to disclose his income tax returns.', 'According to Clinton\'s financial disclosure form, she earned over $5 million in royalties from her memoir ""Hard Choices,"" while Trump revealed that he had submitted his personal financial disclosure to the Federal Election Commission on Monday.']"
"['WASHINGTON (Reuters) - U.S. Senate Majority Leader Mitch McConnell on Thursday said Republican senators are making “good progress” on their efforts to come to agreement on retooled draft legislation aimed at repealing and replacing the 2010 Affordable Care Act.', 'U.S. House Speaker Paul Ryan separately on Thursday told reporters at a news conference that he expects his chamber to move quickly once the Senate passes its version of healthcare legislation.']","['According to U.S. Senate Majority Leader Mitch McConnell on Thursday, Republican senators are making significant headway in revising their draft legislation aimed at repealing and replacing the Affordable Care Act, with McConnell describing their progress as ""good.""', 'Speaker Paul Ryan anticipates that the House of Representatives will proceed expeditiously once the Senate passes its version of the healthcare bill.']"
"['LONDON (Reuters) - British Prime Minister Theresa May raised concerns about illegal settlements on Thursday at a meeting with her Israeli counterpart Benjamin Netanyahu in London, May s office said.', 'They discussed the need to overcome obstacles to peace, with the prime minister noting our grave concerns about illegal settlements,  a spokesman from May s office said in a statement.']","[""Theresa May expressed reservations about unauthorized Israeli settlements during a meeting with Benjamin Netanyahu in London, according to a statement released by May's office."", 'The prime minister and other officials talked about the challenges that must be overcome in order to achieve peace, with a specific focus on the illegal settlements that are a major source of concern.']"
"['WASHINGTON (Reuters) - President Donald Trump on Wednesday seized on the deadly New York City truck attack to step up demands for stricter U.S. immigration laws, asking Congress to end a visa program that let the Uzbek suspect into the country and saying he might send him to Guantanamo Bay.', 'Trump on Wednesday also renewed his call for a “merit-based” visa system - which would favor the highly skilled - and for ending “chain migration,” which allows legal immigrants to apply for relatives abroad to come to the United States.']","['President Trump took advantage of the deadly truck attack in New York City to renew his call for tougher immigration laws, urging Congress to abolish a visa program that allowed the Uzbek suspect to enter the country and suggesting that he might send the suspect to the Guantanamo Bay detention center.', 'Trump on Wednesday reiterated his proposal for a ""skill-based"" visa system that prioritizes highly qualified applicants, and he also urged an end to ""family chain migration,"" which enables legal immigrants to sponsor relatives living abroad for U.S. residency.']"
"['WASHINGTON (Reuters) - The U.S. foreign service has seen its top ranks shrink under Secretary of State Rex Tillerson, according to a letter written by the head of the union representing U.S. diplomats and seen by Reuters on Wednesday.', 'Were the U.S. military to face such a decapitation of its leadership ranks, I would expect a public outcry,” Stephenson said in the letter to members of the union.']","[""According to a letter written by the head of the union representing U.S. diplomats and seen by Reuters on Wednesday, the top ranks of the U.S. foreign service have experienced significant reductions under Secretary of State Rex Tillerson's tenure."", ""If the U.S. military were to experience a significant loss of leadership, there would likely be widespread public outrage, according to Stephenson's letter to union members.""]"
"['JERUSALEM (Reuters) - Israel wants to name a train station after Donald Trump to thank him for recognizing Jerusalem as its capital, but the site of the planned building could be as divisive as the U.S. president s declaration.', 'I have decided to name the Western Wall station ... after U.S. President Donald Trump for his courageous and historic decision to recognize Jerusalem as the capital of the Jewish people and the State of Israel,  Katz said in a statement.']","[""Israel is considering naming a train station after Donald Trump as a gesture of gratitude for his recognition of Jerusalem as the country's capital, but the proposed location may be met with controversy, much like Trump's own declaration."", 'Katz has chosen to name the Western Wall station after U.S. President Donald Trump in recognition of his bold and momentous decision to acknowledge Jerusalem as the capital of the Jewish people and the State of Israel.']"
"['LONDON (Reuters) - Britain s parliament backed a second reading of legislation to sever ties with the European Union early on Tuesday, a reprieve for Prime Minister Theresa May who now faces demands by lawmakers for concessions before it becomes law.', 'The bill seeks largely to  copy and paste  EU law into British legislation to ensure Britain has functioning laws and the same regulatory framework as the bloc at the moment of Brexit, to offer some reassurance for companies.']","[""Britain's parliament approved the initial stage of a bill to end its membership in the European Union on Tuesday, providing a temporary respite for Prime Minister Theresa May, who must now address lawmakers' demands for concessions before the bill can become law."", ""The proposed legislation primarily aims to incorporate existing EU laws into British statutes, providing a stable legal framework for businesses and ensuring continuity upon the country's withdrawal from the EU.""]"
"['BEIRUT (Reuters) - Jihadists launched an offensive against government-held parts of northwestern Syria near Hama on Tuesday in their biggest attack there since March, triggering heavy air strikes on rebel territory, the Syrian Observatory for Human Rights said.', 'The insurgent attack north of Hama revived hostilities in the northwestern region near the Turkish border that has been relatively calm in recent months as Russian-led diplomacy seeks to shore up ceasefires in western Syria.']","['Jihadist forces initiated a major offensive against government-controlled areas in northwestern Syria near Hama on Tuesday, marking their largest attack in the region since March. The offensive triggered intense aerial bombardments on rebel territory, according to the Syrian Observatory for Human Rights.', 'The recent insurgent attack to the north of Hama has reignited conflicts in the northwestern region near the Turkish border, which had previously experienced a relative lull in hostilities due to Russian-led diplomatic efforts to establish ceasefires in western Syria.']"
"['QAMISHLI, Syria (Reuters) - Kurdish-led authorities held local elections on Friday in areas they control in northern Syria, pushing ahead with autonomy plans opposed by both the government of President Bashar al-Assad and by Turkey.', 'The Iraqi Kurdish authorities, whose own plans for independence were met with a swift backlash from states in the region in the past two months, have previously been hostile to the Syrian Kurdish parties.']","['Kurdish-led officials oversaw local elections on Friday in territories under their control in northern Syria, despite opposition from both the government of President Bashar al-Assad and Turkey, which opposes the Kurdish-led autonomous plans.', 'The Iraqi Kurdish government, which has faced opposition from neighboring states in the past two months due to its own plans for independence, has historically been at odds with Syrian Kurdish groups.']"
"['BRUSSELS (Reuters) - The European Union is set to agree on Monday to ban business ties with North Korea, part of a new package of sanctions to isolate Pyongyang over its nuclear and missile programs.', 'Diplomats said that if Pyongyang launches more missiles, the EU could consider imposing sanctions on non-EU firms doing business with Pyongyang, as the United States has done.']","['The European Union is expected to approve a measure on Monday that would cut off business ties with North Korea as part of a broader package of sanctions aimed at isolating the regime over its nuclear and ballistic missile programs.', 'According to diplomats, if North Korea launches additional missiles, the European Union may consider imposing sanctions on non-EU companies that engage in business with Pyongyang, similar to the approach taken by the United States.']"
"['NEW YORK (Reuters) - The television audience for Thursday’s restrained Republican Party presidential debate on CNN was down from last week’s figures, according to preliminary Nielsen data on Friday.', 'The size of the audience in millions is expected to be available from Nielsen later on Friday.']","[""According to early Nielsen data released on Friday, the viewership for the Republican Party presidential debate on CNN last Thursday was lower than the previous week's numbers."", 'Nielsen is expected to release audience size figures in millions later on Friday.']"
"['DUBLIN (Reuters) - Ireland s finance minister said the prospect of an election and period without government during Brexit talks is unconscionable, telling the party propping the government up that it needed to be aware of the consequences of causing an election.', 'At a time when issues and decisions will need to be made that will reverberate in our country for decades to come, the prospect of either an election taking place or a government not being in place afterwards is actually unconscionable,  Paschal Donohoe told national broadcaster RTE.']","[""DUBLIN (Reuters) - Ireland's finance minister expressed deep concern about the potential for an election and political instability during Brexit negotiations, urging the party supporting the government to consider the potential consequences of their actions."", ""As our nation faces far-reaching decisions that will shape our future for decades, the possibility of either holding an election or having no government in place afterwards is morally indefensible, according to Paschal Donohoe's statement to RTE.""]"
"['The FAZ said May, who flew in for a hastily announced dinner in Brussels with the European Commission president last Monday ahead of an EU summit, seemed to Juncker  anxious, despondent and disheartened ,  a woman who trusts hardly anyone but is also not ready for a clear-out to free herself .', 'Some said they understood May s difficulties in forging consensus in London.']","['According to the FAZ, May appeared to be feeling anxious, downbeat, and disillusioned during a hastily arranged dinner with the European Commission president in Brussels last Monday, before an EU summit. Despite her reservations about trusting others, she is not prepared to make significant changes to free herself from her current situation.', ""Some acknowledged May's challenges in achieving unanimity among London leaders.""]"
"['JERUSALEM (Reuters) - Israel on Thursday expressed disappointment at the decision of U.S. President Donald Trump to sign a waiver to delay relocating the U.S. Embassy in Israel to Jerusalem from Tel Aviv but said it hoped a move could take place later.', '“Though Israel is disappointed that the embassy will not move at this time, we appreciate today’s expression of President Trump’s friendship to Israel and his commitment to moving the embassy in the future,” part of a statement from Israeli Prime Minister Benjamin Netanyahu said.']","[""Israel was dismayed by US President Donald Trump's decision to postpone the relocation of the US embassy in Israel from Tel Aviv to Jerusalem, but nevertheless held out hope that the move might still take place at a later time."", '""Although Israel is disappointed that the embassy will not be relocated at this time, we value President Trump\'s show of support and commitment to moving the embassy in the future.""']"
"['WASHINGTON (Reuters) - U.S. President Barack Obama and Mexican President Enrique Peña Nieto discussed immigration from Central America and the fight against heroin production during a phone call on Thursday, the White House said.', '“The leaders committed to continue working jointly to address irregular migration from Central America,” the White House said in a statement.']","['During a phone call on Thursday, U.S. President Barack Obama and Mexican President Enrique Peña Nieto talked about the ongoing issue of immigration from Central America and the efforts to combat the production of heroin.', 'The White House affirmed its commitment to collaborate with Central American leaders to address the ongoing issue of irregular migration.']"
"['SITTWE, Myanmar (Reuters) - Thousands of Rohingya Muslims trapped by hostile Buddhists in northwestern Myanmar have enough food and will not be granted the safe passage they requested from two remote villages, a senior government official said on Tuesday.', 'The Office of the United Nations Resident Coordinator in Myanmar told Reuters it was  aware and concerned  about the situation and was discussing it with the Myanmar government.']","['According to a senior government official, thousands of Rohingya Muslims who are currently surrounded by hostile Buddhists in northwestern Myanmar have access to enough food and will not be allowed to leave two remote villages safely.', 'The United Nations Resident Coordinator in Myanmar has informed Reuters that they are aware of the situation and are in talks with the Myanmar government to address their concerns.']"
"['BELGRADE (Reuters) - British Foreign\xa0Secretary Boris Johnson, setting aside his previous hostility toward Donald Trump, said on Thursday the U.S. Republican’s presidential election victory offered economic opportunities and there was no need for Europeans to be despondent about it.', '“I may respectfully say to my European friends and colleagues that it’s time we snapped out of general doom and gloom about this election,” Johnson said after meeting Serbian Prime Minister Aleksandar Vucic.']","[""British Foreign Secretary Boris Johnson, previously opposed to Donald Trump, expressed optimism about the economic opportunities presented by Trump's presidential victory, assuring Europeans that there was no reason to be discouraged."", '""Johnson politely suggested to his European friends and colleagues that it\'s time to move away from a negative outlook on this election.""']"
"['WASHINGTON/NEW YORK (Reuters) - Backers of Republican presidential hopeful Marco Rubio have spent nearly as much money in the weeks leading up to Super Tuesday’s nominating contests as all of his rivals combined, including an outsized spend in Texas.', ""Senator Cruz's home state of Texas, the biggest prize among the Super Tuesday states in terms of the number of delegates up for grabs.""]","[""Marco Rubio's supporters have invested almost as much money in the weeks leading up to Super Tuesday's primaries as all of his opponents combined, with a particularly significant expenditure in Texas."", ""Texas, Senator Cruz's home state and the state with the most delegates at stake, is the most valuable prize on Super Tuesday.""]"
"['MOSCOW (Reuters) - Russian Defense Minister Sergei Shoigu and U.S.', 'Ambassador to Russia Jon Huntsman met on Thursday to discuss bilateral relations and international security issues, TASS news agency cited Russia s defense ministry as saying.']","['MOSCOW (Reuters) - According to a Reuters report, Russian Defense Minister Sergei Shoigu met with a high-ranking official from the United States.', ""According to Russia's defense ministry, as reported by TASS news agency, Ambassador to Russia Jon Huntsman met on Thursday to discuss matters of mutual interest, including bilateral relations and international security issues.""]"
